STATE/UT,Year,CAUSE,Male upto 14 years,Male 15-29 years,Male 30-44 years,Male 45-59 years,Male 60 years and above,Total Male,Female upto 14 years,Female 15-29 years,Female 30-44 years,Female 45-59 years,Female 60 years and above,Total Female,Transgender upto 14 years,Transgender 15-29 years,Transgender 30-44 years,Transgender 45-59 years,Transgender 60 years and above,Total Transgender,Grand Total
Andhra Pradesh,2014,Bankruptcy or indebtedness,0,77,148,78,12,315,0,13,12,3,2,30,0,0,0,0,0,0,345
Andhra Pradesh,2014,Marriage Related Issues,0,26,24,12,3,65,1,54,34,7,0,96,0,0,0,0,0,0,161
Andhra Pradesh,2014,Non Settlement of Marriage,0,7,9,0,0,16,0,14,4,1,0,19,0,0,0,0,0,0,35
Andhra Pradesh,2014,Dowry Related Issues,0,0,0,0,0,0,0,26,8,2,0,36,0,0,0,0,0,0,36
Andhra Pradesh,2014,Extra Marital affairs,0,1,2,0,0,3,0,2,7,3,0,12,0,0,0,0,0,0,15
Andhra Pradesh,2014,Divorce,0,7,3,3,3,16,0,4,5,0,0,9,0,0,0,0,0,0,25
Andhra Pradesh,2014,Others,0,11,10,9,0,30,1,8,10,1,0,20,0,0,0,0,0,0,50
Andhra Pradesh,2014,Failure in Examination,2,53,0,0,0,55,2,34,1,1,0,38,0,0,0,0,0,0,93
Andhra Pradesh,2014,Impotency/Infertility,0,1,2,3,0,6,0,1,1,0,0,2,0,0,0,0,0,0,8
Andhra Pradesh,2014,Other Family problems,3,231,310,101,27,672,9,198,135,46,7,395,0,0,0,0,0,0,1067
Andhra Pradesh,2014,Illness,2,264,366,253,136,1021,6,255,157,95,62,575,0,0,0,0,0,0,1596
Andhra Pradesh,2014,AIDS/STD,0,4,11,6,1,22,0,4,3,0,0,7,0,0,0,0,0,0,29
Andhra Pradesh,2014,Cancer,0,1,2,1,0,4,0,0,0,2,1,3,0,0,0,0,0,0,7
Andhra Pradesh,2014,Paralysis,0,1,0,6,0,7,0,0,0,0,1,1,0,0,0,0,0,0,8
Andhra Pradesh,2014,Insanity/Mental illness,0,44,48,25,18,135,0,33,18,9,6,66,0,0,0,0,0,0,201
Andhra Pradesh,2014,Other prolonged illness,2,214,305,215,117,853,6,218,136,84,54,498,0,0,0,0,0,0,1351
Andhra Pradesh,2014,Death of dear person,0,23,22,19,1,65,0,11,4,2,1,18,0,0,0,0,0,0,83
Andhra Pradesh,2014,Drug abuse/addiction,0,23,34,33,5,95,0,1,1,0,0,2,0,0,0,0,0,0,97
Andhra Pradesh,2014,Fall in social reputation,0,5,0,0,1,6,0,5,0,0,0,5,0,0,0,0,0,0,11
Andhra Pradesh,2014,Ideological causes/Hero worshipping,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,2014,Love affairs,0,80,7,0,0,87,1,48,0,0,0,49,0,0,0,0,0,0,136
Andhra Pradesh,2014,Poverty,0,49,65,42,9,165,2,7,13,3,2,27,0,0,0,0,0,0,192
Andhra Pradesh,2014,Unemployment,0,47,22,1,0,70,0,0,0,0,0,0,0,0,0,0,0,0,70
Andhra Pradesh,2014,Property dispute,0,8,16,6,3,33,0,3,1,2,0,6,0,0,0,0,0,0,39
Andhra Pradesh,2014,Suspected/Illicit relation,0,16,11,2,2,31,0,10,15,4,1,30,0,0,0,0,0,0,61
Andhra Pradesh,2014,Illegitimate Pregnancy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,2014,Physical Abuse (Rape; etc.),0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
Andhra Pradesh,2014,Professional/Career Problem,0,7,8,4,0,19,0,1,0,0,0,1,0,0,0,0,0,0,20
Andhra Pradesh,2014,Causes not known,3,135,175,101,32,446,4,44,31,18,7,104,0,0,0,0,0,0,550
Andhra Pradesh,2014,Other causes,9,387,412,191,70,1069,11,277,145,46,22,501,0,1,0,0,0,1,1571
Andhra Pradesh,2014,Total,19,1432,1622,846,301,4220,36,963,550,227,104,1880,0,1,0,0,0,1,6101
Arunachal Pradesh,2014,Bankruptcy or indebtedness,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2014,Marriage Related Issues,0,0,4,0,0,4,0,0,2,0,0,2,0,0,0,0,0,0,6
Arunachal Pradesh,2014,Non Settlement of Marriage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2014,Dowry Related Issues,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2014,Extra Marital affairs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2014,Divorce,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2014,Others,0,0,4,0,0,4,0,0,2,0,0,2,0,0,0,0,0,0,6
Arunachal Pradesh,2014,Failure in Examination,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2014,Impotency/Infertility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2014,Other Family problems,0,15,2,3,0,20,0,8,4,0,0,12,0,0,0,0,0,0,32
Arunachal Pradesh,2014,Illness,0,1,0,0,1,2,0,4,0,0,0,4,0,0,0,0,0,0,6
Arunachal Pradesh,2014,AIDS/STD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2014,Cancer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2014,Paralysis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2014,Insanity/Mental illness,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Arunachal Pradesh,2014,Other prolonged illness,0,0,0,0,1,1,0,4,0,0,0,4,0,0,0,0,0,0,5
Arunachal Pradesh,2014,Death of dear person,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2014,Drug abuse/addiction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2014,Fall in social reputation,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2
Arunachal Pradesh,2014,Ideological causes/Hero worshipping,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2014,Love affairs,0,2,0,0,0,2,0,2,0,0,0,2,0,0,0,0,0,0,4
Arunachal Pradesh,2014,Poverty,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2
Arunachal Pradesh,2014,Unemployment,0,1,0,0,0,1,0,2,0,0,0,2,0,0,0,0,0,0,3
Arunachal Pradesh,2014,Property dispute,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2014,Suspected/Illicit relation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2014,Illegitimate Pregnancy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2014,Physical Abuse (Rape; etc.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2014,Professional/Career Problem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2014,Causes not known,0,22,14,5,1,42,2,10,0,0,0,12,0,0,0,0,0,0,54
Arunachal Pradesh,2014,Other causes,2,12,13,8,0,35,0,10,1,1,0,12,0,0,0,0,0,0,47
Arunachal Pradesh,2014,Total,4,54,34,16,2,110,2,36,7,1,0,46,0,0,0,0,0,0,156
Assam,2014,Bankruptcy or indebtedness,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,2014,Marriage Related Issues,0,11,10,4,0,25,0,25,7,1,0,33,0,0,0,0,0,0,58
Assam,2014,Non Settlement of Marriage,0,4,0,0,0,4,0,10,1,0,0,11,0,0,0,0,0,0,15
Assam,2014,Dowry Related Issues,0,0,0,0,0,0,0,8,1,0,0,9,0,0,0,0,0,0,9
Assam,2014,Extra Marital affairs,0,2,3,0,0,5,0,2,0,0,0,2,0,0,0,0,0,0,7
Assam,2014,Divorce,0,0,0,0,0,0,0,2,1,0,0,3,0,0,0,0,0,0,3
Assam,2014,Others,0,5,7,4,0,16,0,3,4,1,0,8,0,0,0,0,0,0,24
Assam,2014,Failure in Examination,0,149,2,0,0,151,0,103,0,0,0,103,0,0,0,0,0,0,254
Assam,2014,Impotency/Infertility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
