STATE.UT,Year,HDI
A & N ISLANDS,2001,0.695
A & N ISLANDS,2002,0.698
A & N ISLANDS,2003,0.709
A & N ISLANDS,2004,0.714
A & N ISLANDS,2005,0.72
A & N ISLANDS,2006,0.726
A & N ISLANDS,2007,0.722
A & N ISLANDS,2008,0.716
A & N ISLANDS,2009,0.709
A & N ISLANDS,2010,0.707
A & N ISLANDS,2011,0.703
A & N ISLANDS,2012,0.701
A & N ISLANDS,2013,0.706
A & N ISLANDS,2014,0.714
ANDHRA PRADESH,2001,0.484
ANDHRA PRADESH,2002,0.493
ANDHRA PRADESH,2003,0.508
ANDHRA PRADESH,2004,0.519
ANDHRA PRADESH,2005,0.53
ANDHRA PRADESH,2006,0.542
ANDHRA PRADESH,2007,0.553
ANDHRA PRADESH,2008,0.562
ANDHRA PRADESH,2009,0.568
ANDHRA PRADESH,2010,0.58
ANDHRA PRADESH,2011,0.59
ANDHRA PRADESH,2012,0.6
ANDHRA PRADESH,2013,0.608
ANDHRA PRADESH,2014,0.62
ARUNACHAL PRADESH,2001,0.506
ARUNACHAL PRADESH,2002,0.51
ARUNACHAL PRADESH,2003,0.521
ARUNACHAL PRADESH,2004,0.528
ARUNACHAL PRADESH,2005,0.535
ARUNACHAL PRADESH,2006,0.543
ARUNACHAL PRADESH,2007,0.57
ARUNACHAL PRADESH,2008,0.594
ARUNACHAL PRADESH,2009,0.616
ARUNACHAL PRADESH,2010,0.641
ARUNACHAL PRADESH,2011,0.665
ARUNACHAL PRADESH,2012,0.689
ARUNACHAL PRADESH,2013,0.679
ARUNACHAL PRADESH,2014,0.672
ASSAM,2001,0.493
ASSAM,2002,0.5
ASSAM,2003,0.513
ASSAM,2004,0.522
ASSAM,2005,0.531
ASSAM,2006,0.542
ASSAM,2007,0.549
ASSAM,2008,0.554
ASSAM,2009,0.558
ASSAM,2010,0.567
ASSAM,2011,0.574
ASSAM,2012,0.582
ASSAM,2013,0.586
ASSAM,2014,0.593
BIHAR,2001,0.44
BIHAR,2002,0.444
BIHAR,2003,0.455
BIHAR,2004,0.463
BIHAR,2005,0.47
BIHAR,2006,0.478
BIHAR,2007,0.488
BIHAR,2008,0.497
BIHAR,2009,0.504
BIHAR,2010,0.514
BIHAR,2011,0.524
BIHAR,2012,0.533
BIHAR,2013,0.539
BIHAR,2014,0.55
CHANDIGARH,2001,0.638
CHANDIGARH,2002,0.641
CHANDIGARH,2003,0.652
CHANDIGARH,2004,0.657
CHANDIGARH,2005,0.663
CHANDIGARH,2006,0.669
CHANDIGARH,2007,0.665
CHANDIGARH,2008,0.658
CHANDIGARH,2009,0.651
CHANDIGARH,2010,0.648
CHANDIGARH,2011,0.645
