Location,Time,Male.upto.14.years,Male.15.29.years,Male.30.44.years,Male.45.59.years,Male.60.years.and.above,Total.Male,Female.upto.14.years,Female.15.29.years,Female.30.44.years,Female.45.59.years,Female.60.years.and.above,Total.Female,Grand.Total
TOTAL (ALL INDIA),2001,194720000,155023000,108409000,64798000,36090000,559040000,174654000,141760000,99597000,61539000,38409000,515959000,1075000000
TOTAL (ALL INDIA),2002,195903000,158102000,110511000,67051000,37075000,568642000,175479000,144384000,101723000,63559000,39531000,524676000,1093317000
TOTAL (ALL INDIA),2003,196901000,161141000,112708000,69375000,38050000,578175000,176129000,146956000,103926000,65677000,40658000,533346000,1111523000
TOTAL (ALL INDIA),2004,197757000,164120000,114955000,71793000,39025000,587650000,176696000,149432000,106152000,67887000,41807000,541974000,1129623000
TOTAL (ALL INDIA),2005,198491000,167018000,117226000,74311000,40007000,597053000,177229000,151792000,108368000,70180000,42989000,550558000,1147610000
TOTAL (ALL INDIA),2006,199353000,169745000,119451000,76702000,41135000,606386000,177977000,154008000,110579000,72360000,44175000,559099000,1165486000
TOTAL (ALL INDIA),2007,200068000,172389000,121726000,79194000,42254000,615631000,178680000,156089000,112801000,74635000,45373000,567578000,1183209000
TOTAL (ALL INDIA),2008,200592000,174906000,124085000,81707000,43432000,624722000,179274000,158026000,115062000,76951000,46636000,575949000,1200670000
TOTAL (ALL INDIA),2009,200814000,177266000,126593000,84139000,44773000,633585000,179620000,159825000,117422000,79235000,48040000,584142000,1217726000
TOTAL (ALL INDIA),2010,200661000,179450000,129293000,86432000,46329000,642165000,179624000,161495000,119914000,81449000,49634000,592116000,1234281000
TOTAL (ALL INDIA),2011,200401000,181395000,132081000,88353000,48208000,650438000,179643000,162985000,122462000,83346000,51417000,599853000,1250288000
TOTAL (ALL INDIA),2012,199658000,183207000,135084000,90192000,50279000,658420000,179176000,164398000,125183000,85225000,53379000,607361000,1265780000
TOTAL (ALL INDIA),2013,198556000,184886000,138234000,92005000,52484000,666165000,178365000,165717000,128001000,87114000,55479000,614676000,1280842000
TOTAL (ALL INDIA),2014,197313000,186435000,141404000,93867000,54729000,673748000,177445000,166912000,130803000,89053000,57639000,621852000,1295601000
