STATE.UT,Year,Total_Population,Male_Population,Female_Population,HDI,Total_suicide,Male_Suicide,Female_suicide,id,total_suicide_rate,male_suicide_rate,female_suicide_rate,Male.upto.14.years,Male.15.29.years,Male.30.44.years,Male.45.59.years,Male.60.years.and.above,Female.upto.14.years,Female.15.29.years,Female.30.44.years,Female.45.59.years,Female.60.years.and.above
A & N ISLANDS,2001,356000,192849,163151,0.695,129,79,50,1,36.23595506,40.96469258,30.64645635,2,25,23,21,8,2,31,9,5,3
A & N ISLANDS,2002,358322,194107,164215,0.698,144,91,53,1,40.18731755,46.88135925,32.27476175,2,27,28,21,13,2,28,14,6,3
A & N ISLANDS,2003,360658,195373,165285,0.709,113,70,43,1,31.33162165,35.82890164,26.0156699,1,23,23,17,6,4,28,8,2,1
A & N ISLANDS,2004,363010,196647,166363,0.714,122,81,41,1,33.60788959,41.19055973,24.64490301,0,34,24,14,9,1,23,13,3,1
A & N ISLANDS,2005,365377,197929,167448,0.72,139,86,53,1,38.04289816,43.44992396,31.65161722,5,15,24,25,17,3,27,8,10,5
A & N ISLANDS,2006,367760,199220,168540,0.726,133,96,37,1,36.16489015,48.18793294,21.95324552,4,21,34,25,12,1,21,10,3,2
A & N ISLANDS,2007,370158,200519,169639,0.722,156,100,56,1,42.14416546,49.87058583,33.01127689,0,36,26,27,11,6,30,10,8,2
A & N ISLANDS,2008,372572,201827,170745,0.716,143,98,45,1,38.38184297,48.55643695,26.35509093,0,31,32,21,14,0,23,13,5,4
A & N ISLANDS,2009,375002,203143,171859,0.709,131,86,45,1,34.93314702,42.33471003,26.1842557,1,31,23,25,6,7,19,14,4,1
A & N ISLANDS,2010,377447,204468,172980,0.707,156,112,44,1,41.33030598,54.77629751,25.43646664,4,39,33,18,18,0,28,11,2,3
A & N ISLANDS,2011,379909,205801,174108,0.703,136,94,42,1,35.79804637,45.67519108,24.12295816,1,28,35,20,10,4,19,11,6,2
A & N ISLANDS,2012,382386,207143,175243,0.701,121,80,41,1,31.64341791,38.62066302,23.39608429,2,22,26,20,10,1,21,12,3,4
A & N ISLANDS,2013,384880,208494,176386,0.706,151,111,40,1,39.23300769,53.23894213,22.67753677,4,35,29,28,15,2,22,11,4,1
A & N ISLANDS,2014,387390,209853,177536,0.714,155,115,40,1,40.01135806,54.80026495,22.53064167,1,35,36,24,19,2,26,4,2,6
ANDHRA PRADESH,2001,75728000,38285137,37442863,0.484,10522,6379,4143,2,13.8944644,16.6618184,11.06485901,173,2058,2213,1566,369,185,1871,1198,697,192
ANDHRA PRADESH,2002,76534986,38693117,37841869,0.493,11693,7571,4122,2,15.27798019,19.56678755,10.89269666,101,2173,2831,1935,531,139,1804,1374,572,233
ANDHRA PRADESH,2003,77350572,39105446,38245126,0.508,11409,7513,3896,2,14.74972932,19.21215782,10.18691898,155,2270,2846,1745,497,197,1685,1204,609,201
ANDHRA PRADESH,2004,78174849,39522168,38652681,0.519,13526,9082,4444,2,17.30224001,22.97950861,11.49726199,95,2562,3448,2175,802,142,1959,1344,689,310
ANDHRA PRADESH,2005,79007910,39943332,39064578,0.53,13442,8865,4577,2,17.01348637,22.19394216,11.71649672,143,2444,3178,2156,944,161,1904,1360,733,419
ANDHRA PRADESH,2006,79849848,40368983,39480865,0.542,13276,8863,4413,2,16.62620573,21.95497469,11.17756665,169,2696,3278,2032,688,195,1987,1357,583,291
ANDHRA PRADESH,2007,80700758,40799170,39901588,0.553,14882,9949,4933,2,18.44096681,24.3853,12.36291648,121,2936,3660,2304,928,194,2139,1450,804,346
ANDHRA PRADESH,2008,81560736,41233941,40326795,0.562,14354,9721,4633,2,17.59915457,23.57523866,11.48863925,91,2714,3669,2477,770,122,1882,1584,738,307
ANDHRA PRADESH,2009,82429878,41673346,40756532,0.568,14500,9887,4613,2,17.59070904,23.72499679,11.31843112,67,2727,3722,2586,785,127,1934,1420,829,303
