STATE/UT,Year,CAUSE,Male,Female,Transgender,Total
ANDHRA PRADESH,2001,Never Married,819,591,0,1410
ANDHRA PRADESH,2001,Married,5135,3135,0,8270
ANDHRA PRADESH,2001,Widowed/Widower,183,236,0,419
ANDHRA PRADESH,2001,Divorcee,47,43,0,90
ANDHRA PRADESH,2001,Seperated,195,138,0,333
ANDHRA PRADESH,2001,Total,6379,4143,0,10522
ANDHRA PRADESH,2002,Never Married,908,689,0,1597
ANDHRA PRADESH,2002,Married,5435,2503,0,7938
ANDHRA PRADESH,2002,Widowed/Widower,847,704,0,1551
ANDHRA PRADESH,2002,Divorcee,72,77,0,149
ANDHRA PRADESH,2002,Seperated,309,149,0,458
ANDHRA PRADESH,2002,Total,7571,4122,0,11693
ANDHRA PRADESH,2003,Never Married,1205,774,0,1979
ANDHRA PRADESH,2003,Married,5673,2633,0,8306
ANDHRA PRADESH,2003,Widowed/Widower,324,274,0,598
ANDHRA PRADESH,2003,Divorcee,88,58,0,146
ANDHRA PRADESH,2003,Seperated,223,157,0,380
ANDHRA PRADESH,2003,Total,7513,3896,0,11409
ANDHRA PRADESH,2004,Never Married,1464,675,0,2139
ANDHRA PRADESH,2004,Married,6577,3154,0,9731
ANDHRA PRADESH,2004,Widowed/Widower,321,232,0,553
ANDHRA PRADESH,2004,Divorcee,142,65,0,207
ANDHRA PRADESH,2004,Seperated,578,318,0,896
ANDHRA PRADESH,2004,Total,9082,4444,0,13526
ANDHRA PRADESH,2005,Never Married,1389,692,0,2081
ANDHRA PRADESH,2005,Married,6344,3114,0,9458
ANDHRA PRADESH,2005,Widowed/Widower,555,391,0,946
ANDHRA PRADESH,2005,Divorcee,83,46,0,129
ANDHRA PRADESH,2005,Seperated,494,334,0,828
ANDHRA PRADESH,2005,Total,8865,4577,0,13442
ANDHRA PRADESH,2006,Never Married,1393,840,0,2233
ANDHRA PRADESH,2006,Married,6847,3125,0,9972
ANDHRA PRADESH,2006,Widowed/Widower,256,252,0,508
ANDHRA PRADESH,2006,Divorcee,75,54,0,129
ANDHRA PRADESH,2006,Seperated,292,142,0,434
ANDHRA PRADESH,2006,Total,8863,4413,0,13276
ANDHRA PRADESH,2007,Never Married,1156,651,0,1807
ANDHRA PRADESH,2007,Married,7905,3505,0,11410
ANDHRA PRADESH,2007,Widowed/Widower,351,248,0,599
ANDHRA PRADESH,2007,Divorcee,72,66,0,138
ANDHRA PRADESH,2007,Seperated,465,463,0,928
ANDHRA PRADESH,2007,Total,9949,4933,0,14882
ANDHRA PRADESH,2008,Never Married,1533,834,0,2367
ANDHRA PRADESH,2008,Married,7357,3212,0,10569
ANDHRA PRADESH,2008,Widowed/Widower,442,362,0,804
ANDHRA PRADESH,2008,Divorcee,193,110,0,303
ANDHRA PRADESH,2008,Seperated,196,115,0,311
ANDHRA PRADESH,2008,Total,9721,4633,0,14354
ANDHRA PRADESH,2009,Never Married,1527,792,0,2319
ANDHRA PRADESH,2009,Married,7439,3340,0,10779
ANDHRA PRADESH,2009,Widowed/Widower,336,276,0,612
