"X","STATE.UT","Year","CAUSE","Male.upto.14.years","Male.15.29.years","Male.30.44.years","Male.45.59.years","Male.60.years.and.above","Total.Male","Female.upto.14.years","Female.15.29.years","Female.30.44.years","Female.45.59.years","Female.60.years.and.above","Total.Female","Total.upto.14.years","Total.15.29.years","Total.30.44.years","Total.45.59.years","Total.60.years.and.above","Total","Total.upto.14.years.suicide_rate","Total.15.29.years.suicide_rate","Total.30.44.years.suicide_rate","Total.45.59.years.suicide_rate","Total.60.years.and.above.suicide_rate","Total.suicide_rate","Male.upto.14.years.suicide_rate","Male.15.29.years.suicide_rate","Male.30.44.years.suicide_rate","Male.45.59.years.suicide_rate","Male.60.years.and.above.suicide_rate","Total.Male.suicide_rate","Female.upto.14.years.suicide_rate","Female.15.29.years.suicide_rate","Female.30.44.years.suicide_rate","Female.45.59.years.suicide_rate","Female.60.years.and.above.suicide_rate","Total.Female.suicide_rate"
457,"TOTAL (ALL INDIA)",2001,"Total",1498,19981,23503,15408,5924,66314,1509,18929,12945,6171,2638,42192,3007,38910,36448,21579,8562,108506,0.814080038118547,13.1105892183852,17.5225714642847,17.0805068982167,11.4927717150566,10.0935907847356,0.769309778142975,12.8890551724583,21.6799343227961,23.7785116824593,16.414519257412,11.8621207784774,0.863993953760006,13.3528498871332,12.9973794391397,10.0277872568615,6.86818193652529,8.17739394021618
458,"TOTAL (ALL INDIA)",2002,"Total",1306,20917,24811,15955,6343,69332,1574,18371,12701,5902,2537,41085,2880,39288,37512,21857,8880,110417,0.775481848877975,12.9883697096725,17.6748306114949,16.734553250134,11.5917813226118,10.0992574895867,0.666656457532554,13.2300666658233,22.4511587081829,23.7953199803135,17.1085637221848,12.1925570042311,0.896973427019757,12.723708998227,12.4858684859865,9.2858603816926,6.41774809643065,7.83054685177138
459,"TOTAL (ALL INDIA)",2003,"Total",1278,21697,24679,16111,6456,70221,1298,18131,12338,6221,2642,40630,2576,39828,37017,22332,9098,110851,0.690561080878214,12.9270976348358,17.0873454767026,16.5358528566774,11.5591807694262,9.97291099313463,0.649057140390348,13.4646055318013,21.8964048692196,23.2230630630631,16.9671484888305,12.1452847321313,0.736959841934037,12.3377065244019,11.871908858226,9.47211352528282,6.49810615377048,7.61794407382825
460,"TOTAL (ALL INDIA)",2004,"Total",1467,21617,25850,17065,6652,72651,1446,18519,12446,6074,2561,41046,2913,40136,38296,23139,9213,113697,0.777934747484998,12.8004286370363,17.3201210273759,16.5657216494845,11.3977137767221,10.0650304880208,0.741819505757065,13.1714599073848,22.4870601539733,23.769726853593,17.0454836643177,12.3629711563005,0.818354688278173,12.3929278869318,11.7246966613912,8.94722111744517,6.12576841198842,7.57342603150705
461,"TOTAL (ALL INDIA)",2005,"Total",1328,21823,25932,17236,6597,72916,1227,18411,12251,6389,2720,40998,2555,40234,38183,23625,9317,113914,0.680027680187374,12.6200558326276,16.9255387997908,16.3504993390592,11.2258422092631,9.92618578943562,0.669047966910339,13.0662563316529,22.1213723917902,23.1944126710716,16.4896143174944,12.2126511381737,0.692324619560004,12.1290977126594,11.3049977853241,9.10373325733827,6.32719998139059,7.44662687673233
462,"TOTAL (ALL INDIA)",2006,"Total",1194,22757,27809,17345,6597,75702,1270,19459,12890,6261,2530,42410,2464,42216,40699,23606,9127,118112,0.653009302202316,13.0395702896962,17.6929096204843,15.8363633924139,10.698628531239,10.1341501606627,0.598937563016358,13.4065804589237,23.2806757582607,22.613491173633,16.0374377051173,12.4841272720676,0.713575349623828,12.6350579190691,11.656824532687,8.65257048092869,5.72722127900396,7.5854186825589
463,"TOTAL (ALL INDIA)",2007,"Total",1184,23446,28551,19113,7001,79295,1295,19714,13281,6458,2594,43342,2479,43160,41832,25571,9595,122637,0.654524908382354,13.1393883304209,17.8367522715935,16.6230034648863,10.9498214020793,10.3647791725722,0.59179878841194,13.6006357714239,23.4551369469136,24.1344041215244,16.5688455530837,12.8802805576717,0.724759346317439,12.6299739251325,11.7738317922713,8.65277684732364,5.71705639918013,7.63630725644757
464,"TOTAL (ALL INDIA)",2008,"Total",1165,24396,29519,18819,6645,80544,1216,20256,14043,6373,2585,44473,2381,44652,43562,25192,9230,125017,0.626799976833936,13.4117477442841,18.2155745211104,15.8781782198187,10.2478127636897,10.412261143977,0.580780888569833,13.9480635312682,23.789337953822,23.032298334292,15.2997789648186,12.8927747061893,0.678291330588931,12.8181438497462,12.2047244094488,8.28189367259685,5.54292820996655,7.72169063580282
465,"TOTAL (ALL INDIA)",2009,"Total",1501,23746,29335,19596,7293,81471,1450,20174,14153,7007,2896,45680,2951,43920,43488,26603,10189,127151,0.775693024282793,13.0291226998051,17.8218552138188,16.2834967620307,10.9779879973711,10.4416671388579,0.747457846564483,13.3956878363589,23.1726872733879,23.2900319709053,16.2888347888236,12.8587324510523,0.807259770626879,12.6225559205381,12.0531075948289,8.84331419196062,6.02830974188177,7.82001636588364
466,"TOTAL (ALL INDIA)",2010,"Total",1640,26387,30444,20768,7941,87180,1490,21238,14402,7121,3168,47419,3130,47625,44846,27889,11109,134599,0.823066910343558,13.9685286483157,17.9954816678504,16.6123623280776,11.5763367131082,10.905053225319,0.817298827375524,14.7043744775704,23.5465183729978,24.0281377267679,17.140451984718,13.5759501062811,0.829510533113615,13.1508715440107,12.0102740297213,8.74289432651107,6.38272152153766,8.0083970032899
