"","STATE.UT","Year","CAUSE","Male.upto.14.years","Male.15.29.years","Male.30.44.years","Male.45.59.years","Male.60.years.and.above","Total.Male","Female.upto.14.years","Female.15.29.years","Female.30.44.years","Female.45.59.years","Female.60.years.and.above","Total.Female","Transgender.upto.14.years","Transgender.15.29.years","Transgender.30.44.years","Transgender.45.59.years","Transgender.60.years.and.above","Total.Transgender","Grand.Total"
"1","ANDHRA PRADESH",2001,"Total",173,2058,2213,1566,369,6379,185,1871,1198,697,192,4143,0,0,0,0,0,0,10522
"2","ANDHRA PRADESH",2002,"Total",101,2173,2831,1935,531,7571,139,1804,1374,572,233,4122,0,0,0,0,0,0,11693
"3","ANDHRA PRADESH",2003,"Total",155,2270,2846,1745,497,7513,197,1685,1204,609,201,3896,0,0,0,0,0,0,11409
"4","ANDHRA PRADESH",2004,"Total",95,2562,3448,2175,802,9082,142,1959,1344,689,310,4444,0,0,0,0,0,0,13526
"5","ANDHRA PRADESH",2005,"Total",143,2444,3178,2156,944,8865,161,1904,1360,733,419,4577,0,0,0,0,0,0,13442
"6","ANDHRA PRADESH",2006,"Total",169,2696,3278,2032,688,8863,195,1987,1357,583,291,4413,0,0,0,0,0,0,13276
"7","ANDHRA PRADESH",2007,"Total",121,2936,3660,2304,928,9949,194,2139,1450,804,346,4933,0,0,0,0,0,0,14882
"8","ANDHRA PRADESH",2008,"Total",91,2714,3669,2477,770,9721,122,1882,1584,738,307,4633,0,0,0,0,0,0,14354
"9","ANDHRA PRADESH",2009,"Total",67,2727,3722,2586,785,9887,127,1934,1420,829,303,4613,0,0,0,0,0,0,14500
"10","ANDHRA PRADESH",2010,"Total",95,3530,3862,2566,894,10947,130,2145,1572,678,429,4954,0,0,0,0,0,0,15901
"11","ANDHRA PRADESH",2011,"Total",112,2828,3551,2710,919,10120,143,2284,1555,663,312,4957,0,0,0,0,0,0,15077
"12","ANDHRA PRADESH",2012,"Total",65,2543,3628,2340,951,9527,143,2046,1466,730,326,4711,0,0,0,0,0,0,14238
"13","ARUNACHAL PRADESH",2001,"Total",2,24,38,11,1,76,2,23,9,1,0,35,0,0,0,0,0,0,111
"14","ARUNACHAL PRADESH",2002,"Total",1,20,38,9,3,71,2,28,11,1,1,43,0,0,0,0,0,0,114
"15","ARUNACHAL PRADESH",2003,"Total",3,11,26,12,2,54,1,14,10,2,0,27,0,0,0,0,0,0,81
"16","ARUNACHAL PRADESH",2004,"Total",1,18,24,6,0,49,4,13,13,0,0,30,0,0,0,0,0,0,79
"17","ARUNACHAL PRADESH",2005,"Total",0,13,28,4,4,49,0,10,9,1,1,21,0,0,0,0,0,0,70
"18","ARUNACHAL PRADESH",2006,"Total",1,28,45,21,1,96,3,15,12,3,0,33,0,0,0,0,0,0,129
"19","ARUNACHAL PRADESH",2007,"Total",2,39,44,10,3,98,5,14,10,2,0,31,0,0,0,0,0,0,129
"20","ARUNACHAL PRADESH",2008,"Total",2,43,25,7,0,77,0,19,13,1,0,33,0,0,0,0,0,0,110
"21","ARUNACHAL PRADESH",2009,"Total",2,43,25,7,0,77,0,19,13,1,0,33,0,0,0,0,0,0,110
"22","ARUNACHAL PRADESH",2010,"Total",4,47,32,6,2,91,4,26,8,2,0,40,0,0,0,0,0,0,131
"23","ARUNACHAL PRADESH",2011,"Total",4,38,34,20,3,99,5,19,9,1,1,35,0,0,0,0,0,0,134
"24","ARUNACHAL PRADESH",2012,"Total",1,28,39,31,1,100,0,20,9,1,0,30,0,0,0,0,0,0,130
"25","ASSAM",2001,"Total",35,620,702,418,61,1836,19,383,274,119,16,811,0,0,0,0,0,0,2647
"26","ASSAM",2002,"Total",23,564,680,381,54,1702,24,376,275,108,25,808,0,0,0,0,0,0,2510
"27","ASSAM",2003,"Total",61,671,557,323,64,1676,48,512,225,101,34,920,0,0,0,0,0,0,2596
"28","ASSAM",2004,"Total",41,691,764,377,72,1945,18,446,296,120,14,894,0,0,0,0,0,0,2839
"29","ASSAM",2005,"Total",36,643,791,408,73,1951,37,425,299,116,18,895,0,0,0,0,0,0,2846
"30","ASSAM",2006,"Total",44,753,853,385,81,2116,32,413,348,107,15,915,0,0,0,0,0,0,3031
"31","ASSAM",2007,"Total",38,704,799,507,68,2116,33,427,331,120,35,946,0,0,0,0,0,0,3062
"32","ASSAM",2008,"Total",28,716,772,398,56,1970,17,503,360,120,19,1019,0,0,0,0,0,0,2989
"33","ASSAM",2009,"Total",27,655,712,425,63,1882,24,514,340,180,26,1084,0,0,0,0,0,0,2966
"34","ASSAM",2010,"Total",34,745,735,442,70,2026,32,489,302,122,22,967,0,0,0,0,0,0,2993
"35","ASSAM",2011,"Total",20,667,686,408,45,1826,10,410,341,126,13,900,0,0,0,0,0,0,2726
