STATE.UT,id,Year,CAUSE,Male,Female,Total
A & N ISLANDS,1,2001,No Education,7,4,11
A & N ISLANDS,1,2001,Primary,20,7,27
A & N ISLANDS,1,2001,Middle,39,33,72
A & N ISLANDS,1,2001,Matriculate/Secondary,10,6,16
A & N ISLANDS,1,2001,Hr. Secondary/Intermediate/Pre-University,2,0,2
A & N ISLANDS,1,2001,Diploma,0,0,0
A & N ISLANDS,1,2001,Graduate,1,0,1
A & N ISLANDS,1,2001,Post Graduate and Above,0,0,0
A & N ISLANDS,1,2002,No Education,0,0,0
A & N ISLANDS,1,2002,Primary,15,0,15
A & N ISLANDS,1,2002,Middle,55,45,100
A & N ISLANDS,1,2002,Matriculate/Secondary,17,5,22
A & N ISLANDS,1,2002,Hr. Secondary/Intermediate/Pre-University,1,3,4
A & N ISLANDS,1,2002,Diploma,0,0,0
A & N ISLANDS,1,2002,Graduate,2,0,2
A & N ISLANDS,1,2002,Post Graduate and Above,1,0,1
A & N ISLANDS,1,2003,No Education,2,1,3
A & N ISLANDS,1,2003,Primary,5,1,6
A & N ISLANDS,1,2003,Middle,42,17,59
A & N ISLANDS,1,2003,Matriculate/Secondary,15,21,36
A & N ISLANDS,1,2003,Hr. Secondary/Intermediate/Pre-University,4,1,5
A & N ISLANDS,1,2003,Diploma,0,0,0
A & N ISLANDS,1,2003,Graduate,2,2,4
A & N ISLANDS,1,2003,Post Graduate and Above,0,0,0
A & N ISLANDS,1,2004,No Education,5,1,6
A & N ISLANDS,1,2004,Primary,17,7,24
A & N ISLANDS,1,2004,Middle,30,18,48
A & N ISLANDS,1,2004,Matriculate/Secondary,19,10,29
A & N ISLANDS,1,2004,Hr. Secondary/Intermediate/Pre-University,9,5,14
A & N ISLANDS,1,2004,Diploma,0,0,0
A & N ISLANDS,1,2004,Graduate,1,0,1
A & N ISLANDS,1,2004,Post Graduate and Above,0,0,0
A & N ISLANDS,1,2005,No Education,15,4,19
A & N ISLANDS,1,2005,Primary,22,14,36
A & N ISLANDS,1,2005,Middle,37,14,51
A & N ISLANDS,1,2005,Matriculate/Secondary,8,18,26
A & N ISLANDS,1,2005,Hr. Secondary/Intermediate/Pre-University,3,2,5
A & N ISLANDS,1,2005,Diploma,0,0,0
A & N ISLANDS,1,2005,Graduate,1,1,2
A & N ISLANDS,1,2005,Post Graduate and Above,0,0,0
A & N ISLANDS,1,2006,No Education,8,2,10
A & N ISLANDS,1,2006,Primary,38,14,52
A & N ISLANDS,1,2006,Middle,43,14,57
A & N ISLANDS,1,2006,Matriculate/Secondary,5,7,12
A & N ISLANDS,1,2006,Hr. Secondary/Intermediate/Pre-University,2,0,2
A & N ISLANDS,1,2006,Diploma,0,0,0
A & N ISLANDS,1,2006,Graduate,0,0,0
A & N ISLANDS,1,2006,Post Graduate and Above,0,0,0
A & N ISLANDS,1,2007,No Education,19,8,27
A & N ISLANDS,1,2007,Primary,10,4,14
A & N ISLANDS,1,2007,Middle,30,10,40
A & N ISLANDS,1,2007,Matriculate/Secondary,33,27,60
A & N ISLANDS,1,2007,Hr. Secondary/Intermediate/Pre-University,7,6,13
A & N ISLANDS,1,2007,Diploma,0,0,0
A & N ISLANDS,1,2007,Graduate,1,1,2
A & N ISLANDS,1,2007,Post Graduate and Above,0,0,0
A & N ISLANDS,1,2008,No Education,11,4,15
A & N ISLANDS,1,2008,Primary,6,6,12
A & N ISLANDS,1,2008,Middle,28,12,40
A & N ISLANDS,1,2008,Matriculate/Secondary,36,13,49
A & N ISLANDS,1,2008,Hr. Secondary/Intermediate/Pre-University,17,9,26
A & N ISLANDS,1,2008,Diploma,0,0,0
A & N ISLANDS,1,2008,Graduate,0,0,0
A & N ISLANDS,1,2008,Post Graduate and Above,0,1,1
A & N ISLANDS,1,2009,No Education,2,1,3
A & N ISLANDS,1,2009,Primary,8,1,9
A & N ISLANDS,1,2009,Middle,43,27,70
A & N ISLANDS,1,2009,Matriculate/Secondary,29,13,42
A & N ISLANDS,1,2009,Hr. Secondary/Intermediate/Pre-University,4,2,6
A & N ISLANDS,1,2009,Diploma,0,0,0
A & N ISLANDS,1,2009,Graduate,0,1,1
A & N ISLANDS,1,2009,Post Graduate and Above,0,0,0
A & N ISLANDS,1,2010,No Education,17,6,23
A & N ISLANDS,1,2010,Primary,24,4,28
A & N ISLANDS,1,2010,Middle,29,8,37
A & N ISLANDS,1,2010,Matriculate/Secondary,31,16,47
A & N ISLANDS,1,2010,Hr. Secondary/Intermediate/Pre-University,11,10,21
A & N ISLANDS,1,2010,Diploma,0,0,0
A & N ISLANDS,1,2010,Graduate,0,0,0
A & N ISLANDS,1,2010,Post Graduate and Above,0,0,0
A & N ISLANDS,1,2011,No Education,3,1,4
A & N ISLANDS,1,2011,Primary,27,10,37
A & N ISLANDS,1,2011,Middle,25,9,34
A & N ISLANDS,1,2011,Matriculate/Secondary,19,12,31
A & N ISLANDS,1,2011,Hr. Secondary/Intermediate/Pre-University,16,9,25
A & N ISLANDS,1,2011,Diploma,2,1,3
A & N ISLANDS,1,2011,Graduate,1,0,1
A & N ISLANDS,1,2011,Post Graduate and Above,1,0,1
A & N ISLANDS,1,2012,No Education,0,0,0
A & N ISLANDS,1,2012,Primary,16,4,20
A & N ISLANDS,1,2012,Middle,42,22,64
A & N ISLANDS,1,2012,Matriculate/Secondary,21,13,34
A & N ISLANDS,1,2012,Hr. Secondary/Intermediate/Pre-University,1,2,3
A & N ISLANDS,1,2012,Diploma,0,0,0
A & N ISLANDS,1,2012,Graduate,0,0,0
A & N ISLANDS,1,2012,Post Graduate and Above,0,0,0
A & N ISLANDS,1,2013,No Education,0,0,0
