OBJECTID,ID_0,ISO,NAME_0,ID_1,NAME_1,TYPE_1,ENGTYPE_1,NL_NAME_1,VARNAME_1
1,105,IND,India,1,A & N ISLANDS,Union Territor,Union Territory,NA,Andaman & Nicobar Islands|Andaman et Nicobar|Iihas de Andama e Nicobar|Inseln Andamanen und Nikobare
2,105,IND,India,2,ANDHRA PRADESH,State,State,NA,NA
3,105,IND,India,3,ARUNACHAL PRADESH,State,State,NA,Agence de la Frontière du Nord-Est(French-obsolete)|North East Frontier Agency
4,105,IND,India,4,ASSAM,State,State,NA,NA
5,105,IND,India,5,BIHAR,State,State,NA,NA
6,105,IND,India,6,CHANDIGARH,Union Territor,Union Territory,NA,NA
7,105,IND,India,7,CHHATTISGARH,State,State,NA,NA
8,105,IND,India,8,D & N HAVELI,Union Territor,Union Territory,NA,DAdra et Nagar Haveli|Dadra e Nagar Haveli
9,105,IND,India,9,DAMAN & DIU,Union Territor,Union Territory,NA,NA
10,105,IND,India,10,DELHI (UT),Union Territor,Union Territory,NA,NA
11,105,IND,India,11,GOA,State,State,NA,Gôa
12,105,IND,India,12,GUJARAT,State,State,NA,Goudjerate|Gujerat|Gujerate
13,105,IND,India,13,HARYANA,State,State,NA,NA
14,105,IND,India,14,HIMACHAL PRADESH,Union Territor,Union Territory,NA,NA
15,105,IND,India,15,JAMMU & KASHMIR,State,State,NA,NA
16,105,IND,India,16,JHARKHAND,State,State,NA,Vananchal
17,105,IND,India,17,KARNATAKA,State,State,NA,Maisur|Mysore
18,105,IND,India,18,KERALA,State,State,NA,NA
19,105,IND,India,19,LAKSHADWEEP,Union Territor,Union Territory,NA,Íles Laquedives|Laccadive|Minicoy and Amindivi Islands|Laccadives|Lackadiverna|Lakkadiven|Lakkadi
20,105,IND,India,20,MADHYA PRADESH,State,State,NA,NA
21,105,IND,India,21,MAHARASHTRA,State,State,NA,NA
22,105,IND,India,22,MANIPUR,State,State,NA,NA
23,105,IND,India,23,MEGHALAYA,State,State,NA,NA
24,105,IND,India,24,MIZORAM,State,State,NA,NA
25,105,IND,India,25,NAGALAND,State,State,NA,NA
26,105,IND,India,26,ODISHA,State,State,NA,NA
27,105,IND,India,27,PUDUCHERRY,Union Territor,Union Territory,NA,Pondicherry|Puduchcheri|Pondichéry
28,105,IND,India,28,PUNJAB,State,State,NA,NA
29,105,IND,India,29,RAJASTHAN,State,State,NA,Greater Rajasthan|Rajputana
30,105,IND,India,30,SIKKIM,State,State,NA,NA
31,105,IND,India,31,TAMIL NADU,State,State,NA,Madras|Tamilnad
32,105,IND,India,32,TELANGANA,State,State,NA,NA
33,105,IND,India,33,TRIPURA,State,State,NA,NA
34,105,IND,India,34,UTTAR PRADESH,State,State,NA,United Provinces
35,105,IND,India,35,UTTARANCHAL,State,State,NA,Uttarakhand
36,105,IND,India,36,WEST BENGAL,State,State,NA,Bangla|Bengala Occidentale|Bengala Ocidental|Bengale occidental
