STATE.UT,Year,id,CAUSE,Male.upto.14.years,Male.15.29.years,Male.30.44.years,Male.45.59.years,Male.60.years.and.above,Total.Male,Female.upto.14.years,Female.15.29.years,Female.30.44.years,Female.45.59.years,Female.60.years.and.above,Total.Female,Total.upto.14.years,Total.15.29.years,Total.30.44.years,Total.45.59.years,Total.60.years.and.above,Total
A & N ISLANDS,2001,1,House Wife,0,0,0,0,0,0,0,21,9,5,3,38,0,21,9,5,3,38
A & N ISLANDS,2001,1,Service (Government),0,3,10,7,0,20,0,0,0,0,0,0,0,3,10,7,0,20
A & N ISLANDS,2001,1,Service (Private),0,14,7,9,2,32,0,0,0,0,0,0,0,14,7,9,2,32
A & N ISLANDS,2001,1,Public Sector Undertaking,0,2,1,1,0,4,0,0,0,0,0,0,0,2,1,1,0,4
A & N ISLANDS,2001,1,Students,1,2,0,0,0,3,2,9,0,0,0,11,3,11,0,0,0,14
A & N ISLANDS,2001,1,Unemployed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A & N ISLANDS,2001,1,Professional Activity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A & N ISLANDS,2001,1,Agriculture (Total),0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,3,3
A & N ISLANDS,2001,1,Retired Persons,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,2
A & N ISLANDS,2002,1,House Wife,0,0,0,0,0,0,0,22,13,6,3,44,0,22,13,6,3,44
A & N ISLANDS,2002,1,Service (Government),0,2,8,8,0,18,0,0,1,0,0,1,0,2,9,8,0,19
A & N ISLANDS,2002,1,Service (Private),0,20,16,13,7,56,0,0,0,0,0,0,0,20,16,13,7,56
A & N ISLANDS,2002,1,Public Sector Undertaking,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A & N ISLANDS,2002,1,Students,2,3,0,0,0,5,2,6,0,0,0,8,4,9,0,0,0,13
A & N ISLANDS,2002,1,Unemployed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A & N ISLANDS,2002,1,Professional Activity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A & N ISLANDS,2002,1,Agriculture (Total),0,1,3,0,3,7,0,0,0,0,0,0,0,1,3,0,3,7
A & N ISLANDS,2002,1,Retired Persons,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,3,3
A & N ISLANDS,2003,1,House Wife,0,0,0,0,0,0,0,17,8,2,1,28,0,17,8,2,1,28
A & N ISLANDS,2003,1,Service (Government),0,0,7,6,1,14,0,1,0,0,0,1,0,1,7,6,1,15
A & N ISLANDS,2003,1,Service (Private),0,17,13,10,2,42,0,0,0,0,0,0,0,17,13,10,2,42
A & N ISLANDS,2003,1,Public Sector Undertaking,0,1,2,0,0,3,0,0,0,0,0,0,0,1,2,0,0,3
A & N ISLANDS,2003,1,Students,1,1,0,0,0,2,4,4,0,0,0,8,5,5,0,0,0,10
A & N ISLANDS,2003,1,Unemployed,0,3,1,0,2,6,0,6,0,0,0,6,0,9,1,0,2,12
A & N ISLANDS,2003,1,Professional Activity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
