,STATE.UT,Year,id,CAUSE,Male.upto.14.years,Male.15.29.years,Male.30.44.years,Male.45.59.years,Male.60.years.and.above,Total.Male,Female.upto.14.years,Female.15.29.years,Female.30.44.years,Female.45.59.years,Female.60.years.and.above,Total.Female,Transgender.upto.14.years,Transgender.15.29.years,Transgender.30.44.years,Transgender.45.59.years,Transgender.60.years.and.above,Total.Transgender,Grand.Total
1,A & N ISLANDS,2001,1,CAUSES NOT KNOWN,0,9,8,10,0,27,0,8,2,1,1,12,0,0,0,0,0,0,39
547,A & N ISLANDS,2001,1,DEATH OF DEAR PERSON,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
1093,A & N ISLANDS,2001,1,DOWRY DISPUTE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1639,A & N ISLANDS,2001,1,DRUG ABUSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2185,A & N ISLANDS,2001,1,ECONOMIC ISSUES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2731,A & N ISLANDS,2001,1,EXAM FAILURE,1,1,0,0,0,2,0,2,0,0,0,2,0,0,0,0,0,0,4
3277,A & N ISLANDS,2001,1,FAMILY PROBLEMS,0,3,4,3,1,11,0,5,0,2,0,7,0,0,0,0,0,0,18
3823,A & N ISLANDS,2001,1,HEALTH ISSUES,1,3,6,4,4,18,0,8,3,2,1,14,0,0,0,0,0,0,32
4369,A & N ISLANDS,2001,1,HERO WORSHIP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4914,A & N ISLANDS,2001,1,ILLEGITIMATE PREGNANCY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5459,A & N ISLANDS,2001,1,LOVE AFFAIRS,0,3,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0,4
6004,A & N ISLANDS,2001,1,MARITAL ISSUES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6550,A & N ISLANDS,2001,1,MENTAL HEALTH,0,2,3,3,1,9,0,2,2,0,1,5,0,0,0,0,0,0,14
7096,A & N ISLANDS,2001,1,OTHERS,0,4,2,1,2,9,1,6,1,0,0,8,0,0,0,0,0,0,17
7681,A & N ISLANDS,2001,1,"PHYSICAL ABUSE (RAPE,INCEST ETC.)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8187,A & N ISLANDS,2001,1,SOCIETAL ISSUES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,A & N ISLANDS,2002,1,CAUSES NOT KNOWN,0,10,9,3,2,24,0,7,2,1,1,11,0,0,0,0,0,0,35
586,A & N ISLANDS,2002,1,DEATH OF DEAR PERSON,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,2
1132,A & N ISLANDS,2002,1,DOWRY DISPUTE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1678,A & N ISLANDS,2002,1,DRUG ABUSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2224,A & N ISLANDS,2002,1,ECONOMIC ISSUES,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2770,A & N ISLANDS,2002,1,EXAM FAILURE,1,0,0,0,0,1,1,1,0,0,0,2,0,0,0,0,0,0,3
3316,A & N ISLANDS,2002,1,FAMILY PROBLEMS,1,3,4,3,0,11,1,11,1,1,0,14,0,0,0,0,0,0,25
3862,A & N ISLANDS,2002,1,HEALTH ISSUES,0,3,5,6,6,20,0,2,5,1,1,9,0,0,0,0,0,0,29
4408,A & N ISLANDS,2002,1,HERO WORSHIP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4953,A & N ISLANDS,2002,1,ILLEGITIMATE PREGNANCY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5498,A & N ISLANDS,2002,1,LOVE AFFAIRS,0,4,1,0,0,5,0,1,2,0,0,3,0,0,0,0,0,0,8
6043,A & N ISLANDS,2002,1,MARITAL ISSUES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
